text,tokenized,Clear text,Lemmatization,Clear digit,NER,POS,word_punctuation_tokenizer
আমি আজ বাজারে যাব।,"['আমি', 'আজ', 'বাজারে', 'যাব', '।']",আমি আজ বাজারে যাব,আমি আজ বাজার যাওয়া ।,আমি আজ বাজারে যাব।,"[('আমি', 'O', 0.99895966), ('আজ', 'B-D&T', 0.9790795), ('বাজারে', 'O', 0.9936026), ('যাব।', 'O', 0.99995863)]","[('আমি', 'PRO', 0.99666035), ('আজ', 'NNC', 0.7434588), ('বাজারে', 'NNC', 0.98570454), ('যাব।', 'VF', 0.9912581)]","['আমি', 'আজ', 'বাজারে', 'যাব', '।']"
তুমি কোথায় থাক?,"['তুমি', 'কোথায়', 'থাক', '?']",তুমি কোথায় থাক,তুমি কোথা থাকা ?,তুমি কোথায় থাক?,"[('তুমি', 'O', 0.99993205), ('কোথায়', 'O', 0.99992967), ('থাক?', 'O', 0.999943)]","[('তুমি', 'PRO', 0.9967399), ('কোথায়', 'ADV', 0.91124105), ('থাক?', 'VF', 0.9546316)]","['তুমি', 'কোথায়', 'থাক', '?']"
"১২/০৩/২০২২ তারিখে সে ৪/ক ঠিকানায় গিয়ে ১২,৩৪৫ টাকা দিয়েছিল।","['১২/০৩/২০২২', 'তারিখে', 'সে', '৪/ক', 'ঠিকানায়', 'গিয়ে', '১২,৩৪৫', 'টাকা', 'দিয়েছিল', '।']",তারিখে সে ক ঠিকানায় গিয়ে টাকা দিয়েছিল,"১২ / ০৩ / ২০২২ তারিখ সে ৪ / ক ঠিকানা যাওয়া ১২ , ৩৪৫ টাকা দেওয়া ।"," / /  তারিখে সে  /ক ঠিকানায় গিয়ে  ,  টাকা দিয়েছিল।","[('১২/০৩/২০২২', 'B-D&T', 0.9909151), ('তারিখে', 'O', 0.9264198), ('সে', 'O', 0.9994949), ('৪/ক', 'B-NUM', 0.87830025), ('ঠিকানায়', 'O', 0.9976955), ('গিয়ে', 'O', 0.9996723), ('১২,৩৪৫', 'B-NUM', 0.99816835), ('টাকা', 'B-UNIT', 0.9994431), ('দিয়েছিল।', 'O', 0.9999449)]","[('১২/০৩/২০২২', 'QF', 0.9902194), ('তারিখে', 'NNC', 0.99669194), ('সে', 'PRO', 0.992218), ('৪/ক', 'QF', 0.9664434), ('ঠিকানায়', 'NNC', 0.99762243), ('গিয়ে', 'VNF', 0.9406668), ('১২,৩৪৫', 'QF', 0.9950932), ('টাকা', 'NNC', 0.9987447), ('দিয়েছিল।', 'VF', 0.9952501)]","['১২', '/', '০৩', '/', '২০২২', 'তারিখে', 'সে', '৪', '/', 'ক', 'ঠিকানায়', 'গিয়ে', '১২', ',', '৩৪৫', 'টাকা', 'দিয়েছিল', '।']"
আজকের আবহাওয়া খুব ভালো।,"['আজকের', 'আবহাওয়া', 'খুব', 'ভালো', '।']",আজকের আবহাওয়া খুব ভালো,আজকের আবহাওয়া খুব ভালো ।,আজকের আবহাওয়া খুব ভালো।,"[('আজকের', 'B-D&T', 0.99321246), ('আবহাওয়া', 'O', 0.99957496), ('খুব', 'O', 0.9999578), ('ভালো।', 'O', 0.9999765)]","[('আজকের', 'NNC', 0.93995), ('আবহাওয়া', 'NNC', 0.9972223), ('খুব', 'ADJ', 0.9082318), ('ভালো।', 'ADJ', 0.96132696)]","['আজকের', 'আবহাওয়া', 'খুব', 'ভালো', '।']"
ঢাকা বাংলাদেশের রাজধানী।,"['ঢাকা', 'বাংলাদেশের', 'রাজধানী', '।']",ঢাকা বাংলাদেশের রাজধানী,ঢাকা বাংলাদেশ রাজধানী ।,ঢাকা বাংলাদেশের রাজধানী।,"[('ঢাকা', 'B-GPE', 0.99919313), ('বাংলাদেশের', 'B-GPE', 0.99701893), ('রাজধানী।', 'O', 0.9998086)]","[('ঢাকা', 'NNP', 0.9966869), ('বাংলাদেশের', 'NNP', 0.9914209), ('রাজধানী।', 'NNC', 0.99293184)]","['ঢাকা', 'বাংলাদেশের', 'রাজধানী', '।']"
গতকাল আমি একটি সিনেমা দেখেছিলাম।,"['গতকাল', 'আমি', 'একটি', 'সিনেমা', 'দেখেছিলাম', '।']",গতকাল আমি একটি সিনেমা দেখেছিলাম,গতকাল আমি একটি সিনেমা দেখা ।,গতকাল আমি একটি সিনেমা দেখেছিলাম।,"[('গতকাল', 'B-D&T', 0.9973916), ('আমি', 'O', 0.9996964), ('একটি', 'B-NUM', 0.9986972), ('সিনেমা', 'O', 0.9998907), ('দেখেছিলাম।', 'O', 0.9999639)]","[('গতকাল', 'NNC', 0.984166), ('আমি', 'PRO', 0.9987477), ('একটি', 'QF', 0.98969775), ('সিনেমা', 'NNC', 0.99877983), ('দেখেছিলাম।', 'VF', 0.9892314)]","['গতকাল', 'আমি', 'একটি', 'সিনেমা', 'দেখেছিলাম', '।']"
আমাদের স্কুল খুব সুন্দর।,"['আমাদের', 'স্কুল', 'খুব', 'সুন্দর', '।']",আমাদের স্কুল খুব সুন্দর,আমাদের স্কুল খুব সুন্দর ।,আমাদের স্কুল খুব সুন্দর।,"[('আমাদের', 'O', 0.99985194), ('স্কুল', 'B-ORG', 0.9923403), ('খুব', 'O', 0.99995935), ('সুন্দর।', 'O', 0.9999502)]","[('আমাদের', 'PRO', 0.99662256), ('স্কুল', 'NNC', 0.9967288), ('খুব', 'ADJ', 0.8876707), ('সুন্দর।', 'ADJ', 0.9527659)]","['আমাদের', 'স্কুল', 'খুব', 'সুন্দর', '।']"
শিক্ষক আমাদের অনেক কিছু শেখান।,"['শিক্ষক', 'আমাদের', 'অনেক', 'কিছু', 'শেখান', '।']",শিক্ষক আমাদের অনেক কিছু শেখান,শিক্ষক আমাদের অনেক কিছু শেখান ।,শিক্ষক আমাদের অনেক কিছু শেখান।,"[('শিক্ষক', 'B-PER', 0.9989994), ('আমাদের', 'O', 0.9999262), ('অনেক', 'O', 0.9999808), ('কিছু', 'O', 0.9999515), ('শেখান।', 'O', 0.9999652)]","[('শিক্ষক', 'NNC', 0.9971765), ('আমাদের', 'PRO', 0.99791485), ('অনেক', 'ADJ', 0.94652873), ('কিছু', 'PRO', 0.64074874), ('শেখান।', 'VF', 0.9807567)]","['শিক্ষক', 'আমাদের', 'অনেক', 'কিছু', 'শেখান', '।']"
বই পড়া মানসিক শক্তি বাড়ায়।,"['বই', 'পড়া', 'মানসিক', 'শক্তি', 'বাড়ায়', '।']",বই পড়া মানসিক শক্তি বাড়ায়,বই পড়া মানসিক শক্তি বাড়া ।,বই পড়া মানসিক শক্তি বাড়ায়।,"[('বই', 'O', 0.99987626), ('পড়া', 'O', 0.9999552), ('মানসিক', 'O', 0.9998894), ('শক্তি', 'O', 0.9998728), ('বাড়ায়।', 'O', 0.99996686)]","[('বই', 'NNC', 0.99369556), ('পড়া', 'NNC', 0.9786268), ('মানসিক', 'ADJ', 0.9316015), ('শক্তি', 'NNC', 0.99646074), ('বাড়ায়।', 'VF', 0.974501)]","['বই', 'পড়া', 'মানসিক', 'শক্তি', 'বাড়ায়', '।']"
আমি আগামীকাল ঢাকায় যাব।,"['আমি', 'আগামীকাল', 'ঢাকায়', 'যাব', '।']",আমি আগামীকাল ঢাকায় যাব,আমি আগামীকাল ঢাকা যাওয়া ।,আমি আগামীকাল ঢাকায় যাব।,"[('আমি', 'O', 0.9982504), ('আগামীকাল', 'B-D&T', 0.9914349), ('ঢাকায়', 'B-GPE', 0.99900776), ('যাব।', 'O', 0.99991524)]","[('আমি', 'PRO', 0.997029), ('আগামীকাল', 'NNC', 0.92161036), ('ঢাকায়', 'NNP', 0.9960919), ('যাব।', 'VF', 0.99229324)]","['আমি', 'আগামীকাল', 'ঢাকায়', 'যাব', '।']"
a href=some_URL>বাংলাদেশ</a>\nবাংলাদেশের   আয়তন ১.৪৭ লক্ষ কিলোমিটার!!!,"['a', 'href=some_URL', '>', 'বাংলাদেশ', '<', '/a', '>', '\\nবাংলাদেশের', 'আয়তন', '১.৪৭', 'লক্ষ', 'কিলোমিটার', '!', '!', '!']",বাংলাদেশ বাংলাদেশের আয়তন লক্ষ কিলোমিটার,a href = some _ URL > বাংলাদেশ < / a > \ nবাংলাদেশের আয়তন ১.৪৭ লক্ষ কিলোমিটার ! ! !,a href=some_URL>বাংলাদেশ</a>\nবাংলাদেশের   আয়তন   লক্ষ কিলোমিটার!!!,"[('a', 'O', 0.98304695), ('= _ >বাংলাদেশ বাংলাদেশের', 'O', 0.98941654), ('আয়তন', 'O', 0.99684757), ('১.৪৭', 'B-NUM', 0.9986355), ('লক্ষ', 'I-NUM', 0.99892646), ('কিলোমিটার!', 'B-UNIT', 0.99935645)]","[('= _ >বাংলাদেশ বাংলাদেশের', 'OTH', 0.7638372), ('আয়তন', 'NNC', 0.9978294), ('১.৪৭', 'QF', 0.99531096), ('লক্ষ', 'QF', 0.9048122), ('কিলোমিটার!', 'NNC', 0.9882456)]","['a', 'href', '=', 'some_URL', '>', 'বাংলাদেশ', '</', 'a', '>\\', 'n', 'বাংলাদেশের', 'আয়তন', '১', '.', '৪৭', 'লক্ষ', 'কিলোমিটার', '!!!']"
